,은행코드,은행명,상품명,상품개요_설명
1,088,신한은행,신한 창업진흥원 스타트업통장,창업진흥원으로부터 창업지원금 입금실적 발생시 금융수수료 우대를 제공하는 입출금통장
2,088,신한은행,신한 호국보훈지킴이 통장,보훈급여금 수급권자의 수급권리를 보호하기 위한 보훈급여금 전용통장으로 예금압류의 효력을 배제
3,088,신한은행,신한 연구사업비 우대통장,정부 및 지자체로부터 연구 개발 보조금을 수령받는 고객에게 금융우대혜택을 제공
4,088,신한은행,신한 MyWorld 송금통장 저축예금,"세가지 송금방식중 하나의 송금방식을 선택하여 고객이 미리 신청한 해외송금정보에 의해 자동으로 해외송금이 되는 입출금이 자유로운 원화예금 상품
 - 환율 선택 송금
 - 송금일 선택 송금
 - 송금액 선택 송금"
5,088,신한은행,신한 취업이룸통장,구직촉진수당 수급권자의 수급권리를 보호하기 위한 구직촉진수당 입금 전용통장으로 예금압류의 효력을 원천적으로 배제한다
6,088,신한은행,국민연금안심통장,국민연금 수급권자의 수급권리를 보호하기 위한 국민연금 전용통장으로 이체실적에 따라 각종 금융수수료 감면과 우대금리를 제공하며  예금압류의 효력을 원천적으로 배제한다
7,088,신한은행,신한 군인연금 평생안심통장,군인연금 수급권자의 수급권리를 보호하기 위한 군인연금 전용통장으로 예금압류의 효력을 원천적으로 배제한다
8,088,신한은행,신한 공무원연금 평생안심통장,공무원연금 수급권자의 수급권리를 보호하기 위한 공무원연금 전용통장으로 예금압류의 효력을 원천적으로 배제한다
9,088,신한은행,저축예금,입출금이 자유로운 예금으로 예금잔액 범위내에서 수시 입출거래가 가능한 상품
10,088,신한은행,신한 행복지킴이통장,국가 및 공공기관에서 지급하는 각종 급여의 수급권을 보호하기 위해 관련법에 의해 압류가 금지되는 수급자 전용통장
11,088,신한은행,신한 보조금전용통장,지방자치단체로부터 보조금을 수령받는 고객 전용 통장
12,088,신한은행,신한 희망지킴이 통장,산재보험급여금 수급권자의 수급권리를 보호하기 위한 산재급여금 압류방지 전용통장
13,088,신한은행,쏠편한 입출금통장,누구나 쉽게 가입하고 우대받을 수 있는 비대면 전용 상품
14,088,신한은행,한달애저금통,"매일 절약한 금액, 자투리금액을 계좌에 모아 그 적립금을 매월 돌려 받을 수 있는 온라인 전용 소액입출금 상품"
15,088,신한은행,신한 My주니어통장,만18세이하 고객에게 조건을 충족할 경우 수수료를 우대해주는 youth고객 전용 입출금통장
16,088,신한은행,신한 S-MORE 포인트통장,"신한카드, 신한투자증권, 신한라이프에서 적립된 포인트에 우대금리 적용"
17,088,신한은행,신한주거래 SOHO사업자통장(저축예금),개인사업자를 대상으로 우대요건을 충족한 개인에게 특화된 금융혜택과 부가서비스를 제공하는 입출금이 자유로운 예금상품
18,088,신한은행,수퍼저축예금,예금잔액별 차등금리를 적용하는 유동성 예금으로 예금잔액 범위내에서 수시 입출거래가 가능한 상품
19,088,신한은행,신한주거래미래설계통장,"은퇴고객 또는 은퇴준비고객을 대상으로 여유로운 노후생활을 지원하기 위해 은퇴이후 연금소득에 해당하는 공적연금, 퇴직연금, 개인연금 입금시 다양한 우대서비스를 제공하는 종합연금통장"
20,088,신한은행,신한 쏠비즈 기업통장,비대면거래 시 수수료우대 혜택을 제공하는 비대면거래 전용 법인 유동성 예금
21,088,신한은행,당좌예금,상거래의 안전과 편리를 위해 거래처간의 당좌계정계약에 의하여 거래처가 발행한 어음.수표의 지급자금 출납사무를 은행이 대행하는 예금
22,088,신한은행,유지원 보육&복지시설 우대통장(보통예금),유치원 보육 및 복지시설 운영자를 대상으로 금융우대혜택을 제공하는 상품
23,088,신한은행,더존X쏠비즈기업통장(기업자유예금),비대면 거래시 수수료 혜택을 제공하는 더존 비즈온 고객사대상 비대면 전용 법인 유동성 예금
24,088,신한은행,신한 임금채권 전용통장,근로복지공잔에서 직접 지급하는 체당금(대지급금)만 입금 가능한 압류방지 전용통장
25,088,신한은행,신한 주택연금 지킴이통장,신한은행에서 취급하는 가계여신(주택연금 역모기지론)을 통해 직접 지급되는 주택연금만 입금 가능한 압류방지 전용통장
26,088,신한은행,신한 보증서담보대출 입금전용계좌,공공보증기관의 보증서담보대출 실행자금에 한하여 입금이 가능한 보증서담보대출 입금전용계좌
27,088,신한은행,가계당좌예금,개인 혹인 소규모 상인들이 상거래상의 안전 편의를 위해 금전출납을 은행에 대행시키고자그 지급자금을 예치하는 상품
28,088,신한은행,부가가치세매입자납부계좌(보통예금),사업자간 스크랩등 관련제품 거래시 매매대금의 결제와 부가가치세 납부를 원활히 지원하는 계좌
29,088,신한은행,Hey Young 머니박스,입출금통장에 연결된 통장속 통장으로 하루만 맡겨도 금리혜택을 제공하는 20대 전용상품
30,088,신한은행,신한 주거래우대통장(저축예금),급여이체 또는 생활거래를 통해 다양한 수수료 우대 가능
31,088,신한은행,신한 하도급지킴이기업통장,지자체 및 공공기관이 운영하는 '공공발주 하도급관리 시스템'을 통하여 발주한 공사대금 및 임금이 하도급자와 근로자에게 기간 내 집행될 수 있도록 관리 및 감독을 하기위한 시스템 전용통장
